ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0014,1,1,허허 자석이 세서 잘 붙어있는데 문제는 너무 세요잘 안떨어지네요힘을 좀 많이 줘야합니다,분리하고 못박야할때 분리가 안되서 애먹었어요,자석이 약하다는 분 계시던데전 너무 강해서 스티커 세장 붙이고 사용해요,주문했을 때 불량으로 교환을 했기에 별점 4점 줍니다,가격이 너무 저렴해서 자석이약할까봐 걱정했는데 엄청쎄네요,,,,,
ANAL-211104-0172,0,0,좋아,,,,,1.0,,,,
ANAL-211104-0172,1,0,함께 동봉된 본드를 사용하지 않고 정리가 필요한 곳에 수납식으로 쓰고 있습니다,욕실에 컵이 자꾸 물때가 껴서 고민중에이걸 발견했네요,이제 이 본드랑 모노플랫 사랑할 듯  붙이는 노하우도 생겼어요,,,,,,,
ANAL-211104-0131,1,1,빠른 배송 너무 좋아요,딱 맞아떨이지진않지만 벽면이 아닌곳에 설치할때는 어거지라도 사용이 가능합니다 좋아요,생각보다 크네요 좋습니다,모서리에 고정 잘돼요 하지만 겉에 실리콘 처리가 되어있지 않아서 벽이 상하네요 적당한 걸로 덧대서 설치했습니다,,,,,,
ANAL-211104-0129,0,0,좋아요,설치,아기가,튼튼,너무,25.08,14.96,10.83,9.19,9.15
ANAL-211104-0129,1,0,재구매튼튼하고 좋아요,잘 쓰고 있어요,너무 좋아요,튼튼하고  아이들이 잡고 흔들어도 끄덕없구요쌍둥이 키우면서 한아이는 화장실에 자꾸 들어가고한아이는 신발 신는다며 현관에 자꾸 나가서 화장실하고 현관 두군데 설치했는데 아이들이 손가락이나 몸 끼임없이 안전해서 좋더라구요,튼튼하고 좋아요,,,,,
ANAL-211104-0129,0,1,자꾸,안전문,너무,설치,좋아요,12.47,12.4,11.94,10.13,9.83
ANAL-211104-0129,1,1,기본베이스만 삿다가 문이 너무길어서 확장형 추가구입했네요,안전문 설치시 110센치여서 추가 확장패널이 필요하여 주문하였습니다,튼튼설치할때 힘 없는 사람은 힘들겠지만 그만큼 튼튼해요,딱먖고흔들림이없어좋네요기존 화강패널 45cm 밀려서 다시 30cm재구매 탄탄하니  좋네요,연장방법도 쉬워요,,,,,
ANAL-211104-0246,0,1,너무,예쁘고,제품,사막화,같아,2.35,1.65,1.48,1.26,1.0
ANAL-211104-0246,1,1,제품이 화이트색상이라 인테리어용으로도 너무 예쁘고 크기도 좋고 내구성 좋아보여요 잘쓰겠습니다,디자인이 예쁘고 분리가 되는점이 좋을거 같아서 구매 하였는데  전에 쓰던 이만원 짜리 화장실이 오히려 더 좋습니다사막화 너무 심하고 사막화가 고양이가 위에서 올라와서 내려올때 생기는게 아니라 아래 분리되는 공간에서 모래가 사방팔방 다 튀어나와 벤토 썼다가 집이 모래밭이 될거 같아서 두부로 바꿨는데 벤토보단 낫지만 그래도 사막화 심각해요,다행이 사개월 아기라 크기는 적당한데 스스로 열고 들어가는건 못하네요,디자인이 예쁘고 분리가 되는점이 좋을거 같아서 구매 하였는데  전에 쓰던 이만원 짜리 화장실이 오히려 더 좋습니다사막화 너무 심하고 사막화가 고양이가 위에서 올라와서 내려올때 생기는게 아니라 아래 분리되는 공간에서 모래가 사방팔방 다 튀어나와 벤토 썼다가 집이 모래밭이 될거 같아서 두부로 바꿨는데 벤토보단 낫지만 그래도 사막화 심각해요 ㅋㅋㅋㅋ,,,,,,
