REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220107-0039107,ALL,사용성,바람,4
RVD-220107-0039105,ANAL-211104-0055,사용성,즐거움,5
RVD-220107-0039104,ALL,사용성,중립,3
RVD-220107-0039103,ANAL-211104-0048,사용성,만족,4
RVD-220107-0039102,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039100,ANAL-211104-0050,사용성,고마움,4
RVD-220107-0039098,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039097,ALL,사용성,중립,3
RVD-220107-0039096,ALL,사용성,싫음,1
RVD-220107-0039095,ALL,사용성,중립,3
RVD-220107-0039093,ANAL-211104-0054,사용성,중립,3
RVD-220107-0039092,ANAL-211104-0049,사용성,자신감,5
RVD-220107-0039091,ALL,사용성,만족,4
RVD-220107-0039090,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039089,ALL,사용성,만족,4
RVD-220107-0039088,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039087,ANAL-211104-0048,사용성,중립,3
RVD-220107-0039086,ALL,사용성,중립,3
RVD-220107-0039085,ANAL-211104-0049,디자인,괴로움,2
RVD-220107-0039084,ALL,재질,만족,4
RVD-220107-0039083,ANAL-211104-0055,재질,만족,4
RVD-220107-0039082,ALL,사용성,기쁨,5
RVD-220107-0039080,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039079,ANAL-211104-0055,사용성,만족,4
RVD-220107-0039077,ANAL-211104-0054,사용성,바람,4
RVD-220107-0039076,ANAL-211104-0056,사용성,만족,4
RVD-220107-0039075,ANAL-211104-0056,사용성,만족,4
RVD-220107-0039073,ALL,사용성,행복,5
RVD-220107-0039072,ANAL-211104-0054,사용성,행복,5
RVD-220107-0039071,ANAL-211104-0049,사용성,행복,5
RVD-220107-0039070,ANAL-211104-0048,사용성,행복,5
RVD-220107-0039068,ANAL-211104-0050,사용성,안타까움,2
RVD-220107-0039067,ANAL-211104-0049,사용성,행복,5
RVD-220107-0039064,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039058,ALL,제품상태,불안,2
RVD-220107-0039057,ANAL-211104-0050,제품상태,만족,4
RVD-220107-0039056,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039055,ANAL-211104-0050,사용성,바람,4
RVD-220107-0039054,ANAL-211104-0050,사이즈,만족,4
RVD-220107-0039053,ANAL-211104-0144,사용성,바람,4
RVD-220107-0039052,ANAL-211104-0144,사이즈,중립,3
RVD-220107-0039051,ANAL-211104-0109,사용성,싫음,1
RVD-220107-0039050,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039049,ANAL-211104-0109,사용성,만족,4
RVD-220107-0039048,ANAL-211104-0109,사용성,행복,5
RVD-220107-0039046,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039045,ANAL-211104-0109,사용성,바람,4
RVD-220107-0039044,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039043,ANAL-211104-0109,사용성,만족,4
RVD-220107-0039042,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039041,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039040,ANAL-211104-0109,사용성,즐거움,5
RVD-220107-0039039,ANAL-211104-0109,사용성,설렘,4
RVD-220107-0039038,ANAL-211104-0109,사용성,만족,4
RVD-220107-0039037,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039036,ANAL-211104-0109,사용성,중립,3
RVD-220107-0039035,ANAL-211104-0110,사용성,만족,4
RVD-220107-0039034,ANAL-211104-0110,사용성,만족,4
RVD-220107-0039033,ANAL-211104-0110,사용성,실망,1
RVD-220107-0039032,ANAL-211104-0110,사용성,중립,3
RVD-220107-0038974,ANAL-211104-0259,사용성,바람,4
RVD-220107-0038973,ANAL-211104-0259,사용성,바람,4
RVD-220107-0038972,ANAL-211104-0085,사용성,설렘,4
RVD-220107-0038834,ANAL-211104-0265,디자인,만족,4
RVD-220107-0038833,ANAL-211104-0265,사용성,중립,3
RVD-220107-0038831,ANAL-211104-0047,사용성,만족,4
RVD-220107-0038830,ALL,사용성,만족,4
RVD-220107-0038829,ANAL-211104-0047,사용성,만족,4
RVD-220107-0038828,ALL,사용성,놀람,4
RVD-220107-0038827,ALL,사용성,만족,4
RVD-220107-0038826,ALL,사용성,만족,4
RVD-220107-0038825,ALL,사용성,만족,4
RVD-220106-0013514,ANAL-211104-0047,사용성,짜증남,1
RVD-220106-0013362,ANAL-211104-0053,재질,안타까움,2
RVD-220106-0009326,ANAL-211104-0064,사용성,중립,3
RVD-220106-0008759,ANAL-211104-0280,사용성,중립,3
RVD-220106-0008694,ANAL-211104-0280,사용성,안타까움,2
RVD-220106-0005496,ANAL-211104-0236,디자인,만족,4
RVD-220106-0004446,ANAL-211104-0282,제품상태,바람,4
RVD-220106-0001897,ANAL-211104-0126,사용성,중립,3
RVD-220106-0001893,ANAL-211104-0155,사용성,만족,4
RVD-220106-0001607,ANAL-211104-0223,디자인,괴로움,2
RVD-220106-0001368,ANAL-211104-0050,사용성,불안,2
RVD-220106-0001365,ANAL-211104-0050,사용성,바람,4
RVD-220106-0001364,ANAL-211104-0050,사용성,싫음,1
RVD-220106-0001047,ANAL-211104-0030,사용성,중립,3
RVD-220105-0056773,ANAL-211104-0214,제품상태,만족,4
RVD-220105-0056766,ANAL-211104-0216,사용성,만족,4
RVD-220105-0056765,ANAL-211104-0216,사용성,중립,3
RVD-220105-0056764,ANAL-211104-0216,사용성,중립,3
RVD-220105-0056763,ANAL-211104-0216,사용성,만족,4
RVD-220105-0056762,ANAL-211104-0216,사용성,중립,3
